meal_name,meal_type,budget_tier,goal_type,calories,estimated_cost,is_active
Bánh mì bò né,breakfast,normal,gain,780,45000,1
Bánh mì ốp la 2 trứng + phô mai,breakfast,normal,gain,720,32000,1
Cơm tấm sườn trứng,breakfast,normal,gain,850,50000,1
Xôi gà xé,breakfast,normal,gain,730,30000,1
Xôi mặn,breakfast,normal,gain,780,35000,1
Cháo sườn + quẩy + trứng,breakfast,normal,gain,690,35000,1
Nui bò bằm,breakfast,normal,gain,700,35000,1
Miến gà nấm + sữa chua,breakfast,normal,gain,620,35000,1
Bún cá + trứng luộc,breakfast,normal,gain,650,38000,1
Bánh cuốn chả + sữa đậu nành,breakfast,normal,gain,680,35000,1
Bánh ướt thịt nướng,breakfast,normal,gain,700,38000,1
Yến mạch sữa chua chuối hạnh nhân,breakfast,normal,gain,620,30000,1
Yến mạch nấu sữa + xoài,breakfast,normal,gain,590,28000,1
Khoai lang + 3 trứng + sữa,breakfast,normal,gain,650,30000,1
Bánh mì bơ đậu phộng + sữa chua,breakfast,normal,gain,560,25000,1
Cơm rang bò,breakfast,normal,gain,760,45000,1
Cơm gà xé trứng,breakfast,normal,gain,720,40000,1
Bún chả Hà Nội,breakfast,normal,gain,740,45000,1
Mì xào bò rau cải,breakfast,normal,gain,710,45000,1
Hủ tiếu bò kho,breakfast,normal,gain,790,50000,1
Cơm + bò xào hành tây + rau luộc,lunch,normal,gain,860,55000,1
Cơm + ức gà áp chảo + khoai + salad,lunch,normal,gain,820,50000,1
Cơm + tôm rim + canh rau ngót,lunch,normal,gain,790,55000,1
Cơm + cá hồi áp chảo + bông cải,lunch,normal,gain,840,65000,1
Cơm + cá thu sốt cà + cải luộc,lunch,normal,gain,810,55000,1
Cơm + thịt nạc kho trứng + bí đỏ,lunch,normal,gain,870,50000,1
Cơm + bò lúc lắc + khoai tây,lunch,normal,gain,900,65000,1
Cơm + gà nướng mật ong + bắp,lunch,normal,gain,860,50000,1
Cơm + cá diêu hồng hấp + rau cải,lunch,normal,gain,780,50000,1
Cơm + đậu hũ sốt thịt bằm + trứng,lunch,normal,gain,790,45000,1
Cơm + thịt viên sốt cà + salad,lunch,normal,gain,830,50000,1
Bún chả thịt nạc + nem nhỏ,lunch,normal,gain,850,55000,1
Phở bò viên thêm trứng,lunch,normal,gain,760,50000,1
Hủ tiếu bò kho,lunch,normal,gain,800,55000,1
Mì xào bò + cải ngọt,lunch,normal,gain,830,55000,1
Cơm gà rô ti + canh rau,lunch,normal,gain,850,52000,1
Cơm cá ngừ áp chảo + canh chua,lunch,normal,gain,800,58000,1
Cơm tôm xào nấm + rau luộc,lunch,normal,gain,810,55000,1
Cơm heo nạc xào đậu que + trứng,lunch,normal,gain,830,50000,1
Cơm bò cuộn nấm kim châm,lunch,normal,gain,860,60000,1
Cơm + cá saba nướng + canh cải,lunch,normal,gain,820,60000,1
Bún bò Huế thêm chả,lunch,normal,gain,830,55000,1
Cơm + gà sốt tiêu + salad,lunch,normal,gain,810,50000,1
Cơm + sườn nướng + trứng + dưa leo,lunch,normal,gain,920,60000,1
Cơm + bò hầm khoai cà rốt,lunch,normal,gain,890,65000,1
Cơm + cá hồi sốt nhẹ + rau củ,dinner,normal,gain,780,62000,1
Cơm + ức gà nướng + bí ngòi,dinner,normal,gain,750,50000,1
Cơm + bò xào nấm,dinner,normal,gain,810,60000,1
Cơm + tôm hấp + canh bầu,dinner,normal,gain,730,55000,1
Miến gà xé + sữa chua,dinner,normal,gain,650,40000,1
Nui hải sản rau củ,dinner,normal,gain,760,55000,1
Cơm + đậu hũ non sốt bò bằm,dinner,normal,gain,770,50000,1
Cơm + trứng hấp thịt cua giả,dinner,normal,gain,720,45000,1
Cơm + gà kho gừng + rau cải,dinner,normal,gain,760,48000,1
Bún cá + chuối + sữa,dinner,normal,gain,700,42000,1
Phở gà thêm thịt + trứng,dinner,normal,gain,760,50000,1
Hủ tiếu gà xé nấm,dinner,normal,gain,690,45000,1
Salad gà áp chảo + khoai lang,dinner,normal,gain,680,45000,1
Khoai tây nghiền + bò áp chảo,dinner,normal,gain,790,65000,1
Súp bí đỏ kem nhẹ + bánh mì + gà,dinner,normal,gain,740,45000,1
Cơm + cá thu áp chảo + canh chua,dinner,normal,gain,780,58000,1
Cơm + heo nạc xào súp lơ,dinner,normal,gain,760,50000,1
Cơm + tôm xào bông cải,dinner,normal,gain,770,55000,1
Cơm + chả cá thì là + rau,dinner,normal,gain,740,50000,1
Yến mạch mặn bò bằm,dinner,normal,gain,640,40000,1
Cơm + bò sốt tiêu đen,dinner,normal,gain,830,65000,1
Cơm + gà teriyaki kiểu Việt,dinner,normal,gain,790,52000,1
Bún thịt nướng + rau,dinner,normal,gain,760,50000,1
Cơm + cá basa cuộn sốt chanh,dinner,normal,gain,720,50000,1
Cháo cá hồi + trứng,dinner,normal,gain,670,50000,1
Sữa chua Hy Lạp + chuối,snack,normal,gain,280,22000,1
Sinh tố chuối yến mạch sữa,snack,normal,gain,380,25000,1
Sinh tố bơ sữa,snack,normal,gain,420,30000,1
Sữa tươi + bánh mì phô mai,snack,normal,gain,360,25000,1
Chuối + hạnh nhân,snack,normal,gain,300,25000,1
Táo + bơ đậu phộng,snack,normal,gain,280,25000,1
2 trứng luộc + sữa chua,snack,normal,gain,260,20000,1
Khoai lang + sữa tươi,snack,normal,gain,300,18000,1
Sữa đậu nành + xôi nhỏ,snack,normal,gain,340,18000,1
Bánh mì gà xé nhỏ,snack,normal,gain,370,25000,1
Ngũ cốc + sữa,snack,normal,gain,310,22000,1
Phô mai + bánh quy yến mạch,snack,normal,gain,290,25000,1
Sữa chua + granola,snack,normal,gain,340,28000,1
Xoài chín + sữa chua,snack,normal,gain,260,22000,1
Dưa hấu + sữa,snack,normal,gain,220,18000,1
Chuối + phô mai,snack,normal,gain,270,22000,1
Hạt điều + sữa chua,snack,normal,gain,320,28000,1
Trứng vịt lộn + sữa đậu nành,snack,normal,gain,300,20000,1
Bánh mì bơ đậu phộng chuối,snack,normal,gain,390,25000,1
Yến mạch qua đêm,snack,normal,gain,350,25000,1
Khoai tây + 2 trứng,snack,normal,gain,320,20000,1
Sữa tươi + hạt mix,snack,normal,gain,330,30000,1
Bánh chuối yến mạch homemade,snack,normal,gain,310,22000,1
Sinh tố xoài sữa chua,snack,normal,gain,300,25000,1
Bắp luộc + sữa,snack,normal,gain,260,18000,1
Overnight oats + chuối + whey + hạt,breakfast,premium,gain,680,55000,1
Greek yogurt bowl + granola + berries + chuối,breakfast,premium,gain,620,65000,1
Sandwich nguyên cám ức gà phô mai + sữa,breakfast,premium,gain,710,60000,1
Bagel trứng bò xông khói kiểu healthy,breakfast,premium,gain,760,75000,1
Burrito gà trứng bơ kiểu Việt hóa,breakfast,premium,gain,780,70000,1
Cơm gạo lứt + cá hồi áp chảo + trứng,breakfast,premium,gain,790,85000,1
Phở bò chất lượng cao + sữa chua Hy Lạp,breakfast,premium,gain,760,75000,1
Bún bò nạm chuẩn + nước ép cam,breakfast,premium,gain,780,80000,1
Bánh mì bò áp chảo + phô mai,breakfast,premium,gain,800,75000,1
Trứng scramble + khoai tây áp chảo + xúc xích gà,breakfast,premium,gain,740,70000,1
Oatmeal protein bowl xoài hạt chia,breakfast,premium,gain,650,55000,1
Oatmeal bơ đậu phộng chuối mật ong,breakfast,premium,gain,690,50000,1
Pancake yến mạch + yogurt + trái cây,breakfast,premium,gain,720,60000,1
Cơm tấm sườn nạc premium + trứng,breakfast,premium,gain,860,85000,1
Hủ tiếu hải sản cao đạm,breakfast,premium,gain,760,85000,1
Nui sốt bò bằm phô mai,breakfast,premium,gain,780,75000,1
Bánh mì cá ngừ bơ,breakfast,premium,gain,730,65000,1
Xôi gà nấm đông cô,breakfast,premium,gain,760,60000,1
Trứng benedict kiểu healthy,breakfast,premium,gain,700,75000,1
Salad pasta gà xé + phô mai,breakfast,premium,gain,690,65000,1
Smoothie bowl bơ chuối granola,breakfast,premium,gain,640,60000,1
Croissant trứng gà hun khói + sữa,breakfast,premium,gain,790,80000,1
Cơm cuộn cá hồi trứng kiểu Hàn-Việt,breakfast,premium,gain,720,85000,1
Bún chả thịt nướng premium,breakfast,premium,gain,780,85000,1
Cháo yến mạch cá hồi trứng,breakfast,premium,gain,690,65000,1
Meal prep cơm gạo lứt + ức gà sốt nấm + rau củ,lunch,premium,gain,820,85000,1
Meal prep khoai nghiền + bò áp chảo + asparagus,lunch,premium,gain,900,120000,1
Meal prep pasta sốt bò bằm + salad,lunch,premium,gain,880,95000,1
Meal prep cá hồi teriyaki + cơm + bông cải,lunch,premium,gain,860,110000,1
Meal prep tôm tỏi bơ + cơm + rau củ,lunch,premium,gain,830,100000,1
Cơm + steak bò Úc + trứng + salad,lunch,premium,gain,980,150000,1
Cơm + cá hồi Na Uy + bí ngòi nướng,lunch,premium,gain,870,120000,1
Cơm + đùi gà hữu cơ nướng + bắp ngọt,lunch,premium,gain,860,90000,1
Cơm + heo thăn áp chảo + khoai nướng,lunch,premium,gain,850,95000,1
Bún bò chất lượng cao thêm thịt,lunch,premium,gain,860,90000,1
Phở bò Wagyu kiểu Việt,lunch,premium,gain,920,160000,1
Hủ tiếu hải sản premium,lunch,premium,gain,840,100000,1
Cơm + cá tuyết áp chảo + rau chân vịt,lunch,premium,gain,820,130000,1
Cơm + bò sốt tiêu đen + nấm áp chảo,lunch,premium,gain,910,120000,1
Cơm + tôm sú nướng + salad bơ,lunch,premium,gain,850,110000,1
Mì Ý ức gà sốt kem nhẹ,lunch,premium,gain,890,95000,1
Cơm + gà sốt pesto + rau củ,lunch,premium,gain,840,95000,1
Bibimbap bò kiểu healthy,lunch,premium,gain,880,100000,1
Cơm + cá ngừ áp chảo + trứng lòng đào,lunch,premium,gain,830,105000,1
Bún thịt nướng bản premium + chả giò,lunch,premium,gain,900,90000,1
Cơm + bò hầm rượu vang kiểu nhẹ,lunch,premium,gain,920,130000,1
Poke bowl cá hồi kiểu Việt hóa,lunch,premium,gain,820,110000,1
Cơm + gà sốt mật ong mù tạt + rau,lunch,premium,gain,850,95000,1
Sushi bowl cá hồi trứng bơ,lunch,premium,gain,840,110000,1
Cơm + cừu áp chảo + khoai nghiền,lunch,premium,gain,940,150000,1
Meal prep cá hồi + khoai lang + salad,dinner,premium,gain,760,100000,1
Meal prep bò áp chảo + rau củ nướng,dinner,premium,gain,820,120000,1
Meal prep ức gà sous vide + cơm + rau,dinner,premium,gain,740,90000,1
Meal prep pasta cá ngừ + rau xanh,dinner,premium,gain,780,95000,1
Salad gà bơ phô mai + bánh mì nguyên cám,dinner,premium,gain,720,85000,1
Salad cá hồi xông khói + khoai nướng,dinner,premium,gain,760,100000,1
Cơm + bò nướng đá + rau củ,dinner,premium,gain,840,130000,1
Cơm + tôm áp chảo bơ tỏi + bí ngòi,dinner,premium,gain,780,110000,1
Cơm + cá tuyết sốt chanh bơ nhẹ,dinner,premium,gain,760,125000,1
Bún cá hồi thì là,dinner,premium,gain,720,85000,1
Phở gà ta premium thêm trứng,dinner,premium,gain,760,85000,1
Hủ tiếu bò viên cao đạm,dinner,premium,gain,740,80000,1
Oatmeal mặn bò bằm phô mai,dinner,premium,gain,690,65000,1
Súp bí đỏ kem + steak gà,dinner,premium,gain,730,85000,1
Cơm + thịt heo Iberico áp chảo + salad,dinner,premium,gain,860,130000,1
Cơm + cá saba nướng Nhật kiểu healthy,dinner,premium,gain,790,95000,1
Gà cuộn phô mai + khoai nghiền,dinner,premium,gain,810,95000,1
Pasta hải sản sốt cà,dinner,premium,gain,820,100000,1
Sushi bowl tôm trứng bơ,dinner,premium,gain,760,95000,1
Cơm gạo lứt + bò cuộn măng tây,dinner,premium,gain,800,110000,1
Cơm + gà nướng thảo mộc + bắp,dinner,premium,gain,780,90000,1
Cá hồi sốt miso nhẹ + cơm,dinner,premium,gain,790,115000,1
Tacos bò kiểu healthy,dinner,premium,gain,760,90000,1
Cháo yến mạch hải sản,dinner,premium,gain,650,80000,1
Cơm + đậu hũ non Nhật sốt thịt bò,dinner,premium,gain,770,85000,1
Greek yogurt + granola + berries,snack,premium,gain,320,35000,1
Protein smoothie chuối yến mạch bơ đậu phộng,snack,premium,gain,450,50000,1
Smoothie bơ whey sữa hạnh nhân,snack,premium,gain,430,55000,1
Banana bread healthy + sữa,snack,premium,gain,360,35000,1
Sandwich cá ngừ mini,snack,premium,gain,340,40000,1
Phô mai que + táo,snack,premium,gain,260,30000,1
Hạt mix cao cấp + sữa chua,snack,premium,gain,340,40000,1
Overnight oats mini,snack,premium,gain,300,30000,1
2 trứng lòng đào + bánh mì nguyên cám,snack,premium,gain,290,25000,1
Rice cake + bơ đậu phộng + chuối,snack,premium,gain,310,30000,1
Pudding chia seed xoài,snack,premium,gain,280,35000,1
Yogurt drink + granola bar,snack,premium,gain,300,35000,1
Sữa tươi protein cao + chuối,snack,premium,gain,260,30000,1
Bánh quy yến mạch homemade + sữa,snack,premium,gain,320,30000,1
Mini poke bowl cá hồi,snack,premium,gain,350,50000,1
Hummus + bánh mì pita,snack,premium,gain,290,40000,1
Phô mai cottage + dứa,snack,premium,gain,250,35000,1
Trái bơ + sữa chua Hy Lạp,snack,premium,gain,330,40000,1
Chocolate đen + hạnh nhân + sữa,snack,premium,gain,310,40000,1
Granola protein cup,snack,premium,gain,340,45000,1
Mini wrap gà xé,snack,premium,gain,320,40000,1
Protein pancake 2 miếng,snack,premium,gain,350,45000,1
Sinh tố berries chuối yogurt,snack,premium,gain,290,40000,1
Bắp ngọt + phô mai,snack,premium,gain,270,30000,1
Nut butter toast + mật ong,snack,premium,gain,330,35000,1
Yến mạch sữa chua chuối,breakfast,saving,maintain,380,15000,1
Bánh mì trứng dưa leo,breakfast,saving,maintain,401,16000,1
Cơm trứng + rau luộc,breakfast,saving,maintain,382,17000,1
Khoai lang + 2 trứng luộc,breakfast,saving,maintain,418,18000,1
Cháo yến mạch thịt gà xé,breakfast,saving,maintain,398,19000,1
Bún gà rau sống,breakfast,saving,maintain,409,20000,1
Miến gà nấm,breakfast,saving,maintain,430,21000,1
Bánh mì ức gà áp chảo,breakfast,saving,maintain,411,22000,1
Cơm gạo lứt + trứng cuộn,breakfast,saving,maintain,447,23000,1
Phở gà ít bánh nhiều thịt,breakfast,saving,maintain,427,24000,1
Bún cá rau cải,breakfast,saving,maintain,438,25000,1
Cháo cá thì là,breakfast,saving,maintain,459,26000,1
Yến mạch nấu sữa đậu nành,breakfast,saving,maintain,440,26000,1
Bánh mì chả lụa ít mayo,breakfast,saving,maintain,476,27000,1
Cơm nắm cá ngừ,breakfast,saving,maintain,457,28000,1
Khoai lang + sữa chua,breakfast,saving,maintain,468,29000,1
Trứng ốp la + salad + bánh mì,breakfast,saving,maintain,488,30000,1
Xôi gấc gà xé phần nhỏ,breakfast,saving,maintain,469,31000,1
Mì trứng rau cải,breakfast,saving,maintain,505,32000,1
Bánh cuốn chả lụa vừa phần,breakfast,saving,maintain,486,33000,1
Cơm rang trứng ít dầu,breakfast,saving,maintain,497,34000,1
Sữa chua + granola nội địa,breakfast,saving,maintain,517,35000,1
Bánh mì bơ đậu phộng mỏng + chuối,breakfast,saving,maintain,498,36000,1
Hủ tiếu gà ít nước béo,breakfast,saving,maintain,534,37000,1
Bún mọc nạc,breakfast,saving,maintain,515,38000,1
Cơm gạo lứt ức gà luộc rau muống,lunch,saving,maintain,500,15000,1
Cơm trắng vừa phần cá basa kho canh bí,lunch,saving,maintain,523,16000,1
Cơm thịt nạc rang rau cải,lunch,saving,maintain,505,17000,1
Cơm đậu hũ sốt cà + trứng luộc,lunch,saving,maintain,542,18000,1
Bún thịt nạc nướng rau sống,lunch,saving,maintain,525,19000,1
Cơm gà kho gừng + bắp cải luộc,lunch,saving,maintain,538,20000,1
Cơm cá nục sốt cà + canh rau ngót,lunch,saving,maintain,560,21000,1
Miến trộn gà xé rau củ,lunch,saving,maintain,542,22000,1
Cơm thịt bằm hấp trứng,lunch,saving,maintain,580,23000,1
Cơm heo nạc xào đậu que,lunch,saving,maintain,563,24000,1
Cơm đậu hũ non thịt bằm canh cải,lunch,saving,maintain,575,25000,1
Bún cá + rau sống + trứng,lunch,saving,maintain,597,26000,1
Cơm ức gà áp chảo khoai luộc,lunch,saving,maintain,580,26000,1
Cơm cá diêu hồng hấp hành,lunch,saving,maintain,618,27000,1
Cơm trứng cuộn thịt nạc + salad,lunch,saving,maintain,600,28000,1
Phở gà thêm rau giá,lunch,saving,maintain,612,29000,1
Cơm thịt viên sốt cà + rau luộc,lunch,saving,maintain,635,30000,1
Bún mọc nạc rau thơm,lunch,saving,maintain,618,31000,1
Cơm cá thu kho thơm phần vừa,lunch,saving,maintain,655,32000,1
Cơm tôm rim ít dầu canh bầu,lunch,saving,maintain,637,33000,1
Cơm thịt heo luộc + dưa leo + canh,lunch,saving,maintain,650,34000,1
Cơm chả lá lốt nạc + rau,lunch,saving,maintain,673,35000,1
Mì xào gà rau cải ít dầu,lunch,saving,maintain,655,36000,1
Cơm đùi gà nướng + bí xanh,lunch,saving,maintain,692,37000,1
Cơm cá ngừ áp chảo + canh chua,lunch,saving,maintain,675,38000,1
Cơm cá hấp gừng + rau luộc,dinner,saving,maintain,450,15000,1
Cơm ức gà xé + salad dưa leo,dinner,saving,maintain,472,16000,1
Miến gà nấm,dinner,saving,maintain,454,17000,1
Cháo cá lóc rau đắng,dinner,saving,maintain,491,18000,1
Cơm đậu hũ sốt nấm + canh cải,dinner,saving,maintain,473,19000,1
Khoai lang + ức gà áp chảo,dinner,saving,maintain,485,20000,1
Bún cá rau cần,dinner,saving,maintain,507,21000,1
Cơm heo nạc luộc + bắp cải,dinner,saving,maintain,490,22000,1
Cơm trứng hấp thịt bằm,dinner,saving,maintain,527,23000,1
Súp bí đỏ gà xé + bánh mì nhỏ,dinner,saving,maintain,509,24000,1
Cơm cá basa áp chảo + bí luộc,dinner,saving,maintain,521,25000,1
Nui gà rau củ,dinner,saving,maintain,543,26000,1
Cơm thịt nạc xào súp lơ,dinner,saving,maintain,525,26000,1
Phở gà ít bánh,dinner,saving,maintain,562,27000,1
Cơm tôm hấp + canh mồng tơi,dinner,saving,maintain,544,28000,1
Yến mạch mặn thịt bằm,dinner,saving,maintain,556,29000,1
Cơm cá nục kho gừng + cải luộc,dinner,saving,maintain,578,30000,1
Bún thịt nạc rau sống,dinner,saving,maintain,560,31000,1
Cháo yến mạch trứng gà,dinner,saving,maintain,598,32000,1
Cơm chả trứng hấp + rau,dinner,saving,maintain,580,33000,1
Hủ tiếu thịt nạc,dinner,saving,maintain,592,34000,1
Cơm gà kho nghệ + canh rau,dinner,saving,maintain,614,35000,1
Miến cá rau thì là,dinner,saving,maintain,596,36000,1
Cơm đậu que xào thịt nạc,dinner,saving,maintain,633,37000,1
Salad gà + khoai luộc,dinner,saving,maintain,615,38000,1
Chuối + sữa chua,snack,saving,maintain,150,15000,1
Táo + 2 trứng luộc,snack,saving,maintain,170,16000,1
Khoai lang luộc,snack,saving,maintain,151,17000,1
Sữa tươi không đường + chuối,snack,saving,maintain,186,18000,1
Sữa chua + yến mạch,snack,saving,maintain,167,19000,1
Dưa hấu + phô mai con bò cười,snack,saving,maintain,177,20000,1
Bánh mì nhỏ + trứng luộc,snack,saving,maintain,197,21000,1
Sữa đậu nành + bắp luộc,snack,saving,maintain,178,22000,1
1 quả trứng vịt lộn,snack,saving,maintain,213,23000,1
Chuối + đậu phộng rang ít,snack,saving,maintain,194,24000,1
Táo + sữa chua,snack,saving,maintain,204,25000,1
Khoai tây luộc + sữa chua,snack,saving,maintain,225,26000,1
Cam + 1 trứng luộc,snack,saving,maintain,205,26000,1
Sữa chua uống + chuối,snack,saving,maintain,240,27000,1
Bánh mì nguyên cám nhỏ + bơ đậu phộng mỏng,snack,saving,maintain,221,28000,1
Ngô luộc,snack,saving,maintain,231,29000,1
Ổi + phô mai tươi,snack,saving,maintain,252,30000,1
Dứa + sữa chua,snack,saving,maintain,232,31000,1
2 trứng cút luộc + chuối,snack,saving,maintain,268,32000,1
Thanh yến mạch tự làm,snack,saving,maintain,248,33000,1
Sữa tươi + táo,snack,saving,maintain,258,34000,1
Quýt + hạt bí,snack,saving,maintain,279,35000,1
Sữa đậu nành + khoai lang nhỏ,snack,saving,maintain,259,36000,1
Xoài chín phần nhỏ + sữa chua,snack,saving,maintain,295,37000,1
Lê + hạt điều ít,snack,saving,maintain,275,38000,1
Phở bò tái vừa phần,breakfast,normal,maintain,400,30000,1
Bún bò Huế ít bún nhiều rau,breakfast,normal,maintain,422,32000,1
Hủ tiếu nam vang phần vừa,breakfast,normal,maintain,403,33000,1
Bánh mì ốp la 2 trứng + salad,breakfast,normal,maintain,440,35000,1
Yến mạch overnight chuối hạt chia,breakfast,normal,maintain,422,37000,1
Sữa chua Hy Lạp + granola + xoài,breakfast,normal,maintain,433,38000,1
Bún thịt nướng rau sống ít mỡ,breakfast,normal,maintain,455,40000,1
Bánh cuốn chả nạc,breakfast,normal,maintain,437,42000,1
Phở gà + trứng chần,breakfast,normal,maintain,473,43000,1
Bánh mì gà xé phô mai mỏng,breakfast,normal,maintain,455,45000,1
Khoai lang + yogurt + hạt điều,breakfast,normal,maintain,467,47000,1
Miến gà nấm đông cô,breakfast,normal,maintain,488,48000,1
Cơm tấm sườn nạc phần vừa,breakfast,normal,maintain,470,50000,1
Bún cá thì là,breakfast,normal,maintain,507,52000,1
Nui bò bằm sốt cà nhẹ,breakfast,normal,maintain,488,53000,1
Cơm gạo lứt cá hồi áp chảo mini,breakfast,normal,maintain,500,55000,1
Mì trứng bò rau cải,breakfast,normal,maintain,522,57000,1
Bánh ướt thịt nướng,breakfast,normal,maintain,503,58000,1
Yến mạch sữa tươi dâu tây,breakfast,normal,maintain,540,60000,1
Trứng scramble + bánh mì nguyên cám,breakfast,normal,maintain,522,62000,1
Hủ tiếu gà xé,breakfast,normal,maintain,533,63000,1
Bún chả phần vừa nhiều rau,breakfast,normal,maintain,555,65000,1
Cháo yến mạch cá hồi,breakfast,normal,maintain,537,67000,1
Sandwich cá ngừ,breakfast,normal,maintain,573,68000,1
Salad mì Ý gà xé,breakfast,normal,maintain,555,70000,1
Cơm bò xào hành tây + rau luộc,lunch,normal,maintain,550,30000,1
Cơm cá hồi áp chảo bông cải,lunch,normal,maintain,572,32000,1
Cơm tôm rim ít dầu canh rau,lunch,normal,maintain,554,33000,1
Cơm ức gà nướng khoai nướng salad,lunch,normal,maintain,591,35000,1
Bún chả nạc + rau sống,lunch,normal,maintain,573,37000,1
Phở bò viên thêm rau,lunch,normal,maintain,585,38000,1
Cơm heo nạc kho trứng canh bí,lunch,normal,maintain,607,40000,1
Cơm gà sốt tiêu đen + cải luộc,lunch,normal,maintain,590,42000,1
Mì xào bò rau cải ít dầu,lunch,normal,maintain,627,43000,1
Cơm cá thu sốt cà + salad,lunch,normal,maintain,609,45000,1
Cơm đậu hũ non sốt bò bằm,lunch,normal,maintain,621,47000,1
Bún cá ngừ rau sống,lunch,normal,maintain,643,48000,1
Cơm tôm xào nấm + canh chua,lunch,normal,maintain,625,50000,1
Cơm bò lúc lắc khoai tây vừa phần,lunch,normal,maintain,662,52000,1
Cơm gà áp chảo sốt chanh,lunch,normal,maintain,644,53000,1
Cơm cá saba nướng + rau,lunch,normal,maintain,656,55000,1
Hủ tiếu bò kho phần vừa,lunch,normal,maintain,678,57000,1
Cơm heo nạc xào đậu que,lunch,normal,maintain,660,58000,1
Cơm cá ngừ áp chảo + bí luộc,lunch,normal,maintain,698,60000,1
Pasta gà sốt cà nhẹ,lunch,normal,maintain,680,62000,1
Cơm tôm hấp + rau củ,lunch,normal,maintain,692,63000,1
Bún bò Huế phần vừa nhiều rau,lunch,normal,maintain,714,65000,1
Cơm bò cuộn nấm kim châm,lunch,normal,maintain,696,67000,1
Cơm gà rô ti + salad,lunch,normal,maintain,733,68000,1
Salad gà áp chảo + bánh mì,lunch,normal,maintain,715,70000,1
Cơm cá hồi sốt chanh + rau củ,dinner,normal,maintain,480,30000,1
Cơm bò xào nấm,dinner,normal,maintain,503,32000,1
Miến gà xé + sữa chua,dinner,normal,maintain,485,33000,1
Nui hải sản rau củ,dinner,normal,maintain,522,35000,1
Cơm đậu hũ non thịt bằm + canh cải,dinner,normal,maintain,505,37000,1
Cơm gà kho gừng + bí xanh,dinner,normal,maintain,518,38000,1
Bún cá + rau cần,dinner,normal,maintain,540,40000,1
Phở gà thêm rau,dinner,normal,maintain,522,42000,1
Salad gà áp chảo + khoai lang,dinner,normal,maintain,560,43000,1
Cơm tôm xào bông cải,dinner,normal,maintain,543,45000,1
Cơm cá thu áp chảo + canh chua,dinner,normal,maintain,555,47000,1
Yến mạch mặn bò bằm,dinner,normal,maintain,577,48000,1
Cơm heo nạc xào súp lơ,dinner,normal,maintain,560,50000,1
Súp bí đỏ + ức gà áp chảo,dinner,normal,maintain,598,52000,1
Hủ tiếu gà nấm,dinner,normal,maintain,580,53000,1
Cơm chả cá thì là + rau,dinner,normal,maintain,592,55000,1
Bún thịt nướng phần vừa,dinner,normal,maintain,615,57000,1
Cơm cá basa sốt chanh dây nhẹ,dinner,normal,maintain,598,58000,1
Cơm bò sốt tiêu đen vừa phần,dinner,normal,maintain,635,60000,1
Cháo cá hồi + rau,dinner,normal,maintain,617,62000,1
Miến hải sản nấm,dinner,normal,maintain,630,63000,1
Cơm gà teriyaki kiểu Việt,dinner,normal,maintain,653,65000,1
Cơm tôm hấp + canh bầu,dinner,normal,maintain,635,67000,1
Salad cá ngừ + bánh mì nguyên cám,dinner,normal,maintain,672,68000,1
Cơm đậu hũ áp chảo sốt nấm,dinner,normal,maintain,655,70000,1
Greek yogurt + chuối,snack,normal,maintain,180,30000,1
Sinh tố chuối yến mạch,snack,normal,maintain,201,32000,1
Táo + bơ đậu phộng mỏng,snack,normal,maintain,182,33000,1
Khoai lang + sữa tươi,snack,normal,maintain,218,35000,1
Sữa chua + granola,snack,normal,maintain,198,37000,1
Trứng luộc + cam,snack,normal,maintain,209,38000,1
Hạt điều + sữa chua,snack,normal,maintain,230,40000,1
Bánh mì nguyên cám + cá ngừ,snack,normal,maintain,211,42000,1
Sinh tố bơ sữa không đường,snack,normal,maintain,247,43000,1
Phô mai + táo,snack,normal,maintain,227,45000,1
Bắp luộc + sữa chua uống,snack,normal,maintain,238,47000,1
Xoài + yogurt,snack,normal,maintain,259,48000,1
Yến mạch qua đêm mini,snack,normal,maintain,240,50000,1
Chuối + hạnh nhân,snack,normal,maintain,276,52000,1
Dứa + yogurt Hy Lạp,snack,normal,maintain,257,53000,1
Rice cake + bơ đậu phộng,snack,normal,maintain,268,55000,1
Sữa tươi giàu đạm + chuối,snack,normal,maintain,288,57000,1
Trứng vịt lộn + rau răm,snack,normal,maintain,269,58000,1
Bánh quy yến mạch homemade,snack,normal,maintain,305,60000,1
Lê + hạt mix,snack,normal,maintain,286,62000,1
Sữa đậu nành + xôi gấc nhỏ,snack,normal,maintain,297,63000,1
Cam + yogurt,snack,normal,maintain,317,65000,1
Sandwich gà xé mini,snack,normal,maintain,298,67000,1
Pudding chia xoài,snack,normal,maintain,334,68000,1
Dưa lưới + phô mai tươi,snack,normal,maintain,315,70000,1
Greek yogurt bowl granola berries,breakfast,premium,maintain,430,65000,1
Overnight oats chuối whey hạt chia,breakfast,premium,maintain,453,68000,1
Sandwich nguyên cám ức gà phô mai,breakfast,premium,maintain,436,71000,1
Bagel trứng cá ngừ salad,breakfast,premium,maintain,474,74000,1
Cơm gạo lứt cá hồi trứng lòng đào,breakfast,premium,maintain,457,78000,1
Phở bò premium phần cân bằng,breakfast,premium,maintain,470,81000,1
Bún bò chất lượng cao nhiều rau,breakfast,premium,maintain,493,84000,1
